啊	a	showing approval
阿姨	ā yí	aunt
矮	ǎi	low, short
爱好	ài hào	hobby, interest, to like
安静	ān jìng	quiet, peaceful
把	bǎ	handle, to grasp, to hold, for ba-sentences Measure, for a bunch or objects with handle
半	bàn	half
搬	bān	to move, to shift
班	bān	class, team, squad Measure, for groups, rankings, etc.
办法	bàn fǎ	method, way, means
办公室	bàn gōng shì	office, bureau
帮忙	bāng máng	to help, to do a favour
饱	bǎo	full (from eating)
包	bāo	bag, package, to cover, to wrap, to hold, to include
被	bèi	by (for passive sentence)
北方	běi fāng	north, northern part of a country
比较	bǐ jiào	quite, rather, fairly, comparatively
比赛	bǐ sài	competition, match, to compete
必须	bì xū	Auxiliary, to have to, to must
鼻子	bí zi	nose
变化	biàn huà	change, variation, to change, to vary
表示	biǎo shì	to express, to show, to indicate
表演	biǎo yǎn	performance, to perform, to act
别人	bié ren	others, other people
宾馆	bīn guǎn	hotel
冰箱	bīng xiāng	fridge, icebox
才	cái	ability, talent, just, only if
菜单	cài dān	menu
参加	cān jiā	to attend, to take part, to join
草	cǎo	grass, straw
层	céng	layer, floor Measure, for layer, story, floor
差	chà	to lack, short of, poor
超市	chāo shì	supermarket
衬衫	chèn shān	shirt, blouse
成绩	chéng jì	score, achievement, grades
城市	chéng shì	city, town
迟到	chí dào	to be late
厨房	chú fáng	kitchen
除了	chú le	except for, apart from, besides
出现	chū xiàn	to appear, to arise
春	chūn	spring
词语	cí yǔ	word, expression
聪明	cōng ming	clever, intelligent, smart
打扫	dǎ sǎo	to clean
打算	dǎ suàn	plan, intention, to plan, to think of, to calculate
带	dài	band, belt, area, region, to wear, to carry, to bring, to lead
蛋糕	dàn gāo	cake
担心	dān xīn	to worry, worried, anxious
当然	dāng rán	certainly, of course
地	de	used before a verb
灯	dēng	lamp, light
低	dī	low
地方	dì fang	region, place, location
地铁	dì tiě	subway
地图	dì tú	map
电梯	diàn tī	elevator
电子邮件	diàn zǐ yóu jiàn	email
东	dōng	east
冬	dōng	winter
动物	dòng wù	animal
段	duàn	Measure, for paragraphs, segments, periods, stories
短	duǎn	short, brief
锻炼	duàn liàn	to exercise, to engage in physical exercise
多么	duō me	how, what
饿	è	hungry
耳朵	ěr duo	ear
而且	ér qiě	moreover, in addition, furthermore
发烧	fā shāo	to have fever
发现	fā xiàn	to discover, to find
放	fàng	to let go, to put, have a vacation
方便	fāng biàn	convenient
放心	fàng xīn	to rest, to be at ease
分	fēn	minute, point, 0.01 yuan, to divide, to distinguish
附近	fù jìn	vicinity, nearby, next to
复习	fù xí	revision, to revise
敢	gǎn	Auxiliary, to dare
干净	gān jìng	clean, tidy
感冒	gǎn mào	common cold, to catch a cold
刚才	gāng cái	just a moment ago
跟	gēn	to follow, with, and
根据	gēn jù	basis, foundation, to base on, according to, based on
更	gèng	even more
公园	gōng yuán	park
故事	gù shi	story, tale
刮风	guā fēng	to be windy
关	guān	mountain pass, barrier, to close, to shut, to turn off
关系	guān xì	relationship, relation, to affect, to have to do with
关心	guān xīn	concern, to care for
关于	guān yú	concerning, with regards to, about
国家	guó jiā	country, state, nation
过去	guò qù	to go over, to pass by, past, former
果汁	guǒ zhī	fruit juice
害怕	hài pà	to be afraid, to fear
还是	hái shì	still, nevertheless, or
河	hé	river
黑板	hēi bǎn	blackboard
护照	hù zhào	passport
