爱情	ài qíng	love
暗	àn	dark
安排	ān pái	plan, to plan, to arrange
安全	ān quán	safety, safe, secure
按时	àn shí	on time, on schedule
按照	àn zhào	according to
抱	bào	to hug, to embrace, to hold
报道	bào dào	report, to report
保护	bǎo hù	protection, to protect, to safeguard
包括	bāo kuò	to include, to consist of
报名	bào míng	to sign up, to register
抱歉	bào qiàn	sorry! my apologies!
保证	bǎo zhèng	guarantee, to guarantee, to ensure, to assure
倍	bèi	Measure, for times, -fold
笨	bèn	stupid, foolish
本来	běn lái	original, originally, at first
笔记本	bǐ jì běn	notebook
毕业	bì yè	to graduate, to finish school
遍	biàn	all over Measure, for a time
表达	biǎo dá	to express, to convey
表格	biǎo gé	form, table
表扬	biǎo yáng	to praise, to commend
标准	biāo zhǔn	standard, norm, standard
饼干	bǐng gān	buscuit, cookie
并且	bìng qiě	and, besides, moreover
博士	bó shì	doctor, Ph.D.
不但	bú dàn	not only
不得不	bù dé bù	Auxiliary, to have to, cannot but
部分	bù fen	part, section
不管	bù guǎn	regardless of, no matter what/how
不过	bú guò	only, just, no more than, but, however
不仅	bù jǐn	not only, not just
擦	cā	to wipe, to rub, to erase
猜	cāi	to guess
材料	cái liào	material, data, stuff
参观	cān guān	to visit, to look around
差不多	chà bu duō	almost, more or less
尝	cháng	to taste, once
场	chǎng	field, place Measure, for events, happenings, etc.
长城	Cháng chéng	the Great Wall
长江	Cháng jiāng	Yangtze river
吵	chǎo	to quarrel, noisy
超过	chāo guò	to surpass, to exceed
成功	chéng gōng	success, to succeed
诚实	chéng shí	honest, truthful
成熟	chéng shú	mature
成为	chéng wéi	to become, to turn into
乘坐	chéng zuò	to ride (in a vehicle)
吃惊	chī jīng	to be startled, to be shocked, to be amazed
重新	chóng xīn	again
抽烟	chōu yān	to smoke (a cigarette, etc.)
出差	chū chāi	to go on a business trip
出发	chū fā	to leave, to set out
出生	chū shēng	to be born
传真	chuán zhēn	fax
窗户	chuāng hu	window
词典	cí diǎn	dictionary
从来	cóng lái	always, ever since, at all times
粗心	cū xīn	careless, thoughtless
答案	dá àn	answer, solution
打扮	dǎ ban	style of dressing, to decorate, to dress up
大概	dà gài	probably, roughly
打扰	dǎ rǎo	to disturb
大使馆	dà shǐ guǎn	embassy
打印	dǎ yìn	to print, to seal, to stamp
大约	dà yuē	approximately
打折	dǎ zhé	to give discount
打针	dǎ zhēn	to inject
戴	dài	to put on, to wear, to respect, to support
代表	dài biǎo	representative, to represent
大夫	dài fu	doctor
代替	dài tì	replacement, to replace, to substitute, instead of
当	dāng	to act as, to administer Auxiliary, should, ought, equal, when, during
当地	dāng dì	locality, local
当时	dāng shí	at that time, then
刀	dāo	knife
到处	dào chù	everywhere, at all places
到底	dào dǐ	finally, in the end
道歉	dào qiàn	to apologize
导游	dǎo yóu	tour guide
得意	dé yì	pleased with oneself
得	děi	Auxiliary, to have to
等	děng	etc., and so on
底	dǐ	background, end, bottom, base
地球	dì qiú	earth (planet)
地址	dì zhǐ	address
掉	diào	to fall, to drop, to lose, to turn
调查	diào chá	investigation, survey, to investigate, to survey
丢	diū	to lose, to throw
动作	dòng zuò	movement
堵车	dǔ chē	traffic jam
肚子	dù zi	belly, abdomen
断	duàn	to cut off, to break, to judge, to decide, absolutely, definitely
对	duì	for, to, towards
对话	duì huà	dialog
对面	duì miàn	opposite
顿	dùn	pause, to stop, to pause, to arrange Measure, for meals, beatings, etc.
朵	duǒ	Measure, for flowers, clouds, etc.
而	ér	and, but, yet
儿童	ér tóng	child
发	fā	to send out, to issue, to develop Measure, for gunshots
法律	fǎ lǜ	law
发生	fā shēng	to happen, to occur, to take place
发展	fā zhǎn	development, growth, to develop, to grow
反对	fǎn duì	to fight against, to oppose
烦恼	fán nǎo	worries, worried, troubled
范围	fàn wéi	scope limit, range
翻译	fān yì	translation, translator, to translate
反映	fǎn yìng	reflection, to reflect, to mirror
方法	fāng fǎ	method, way
方面	fāng miàn	aspect, respect
放弃	fàng qì	to give up
放暑假	fàng shǔ jià	to take summer vacation
访问	fǎng wèn	visit, to visit, to interview
方向	fāng xiàng	direction, orientation
份	fèn	part, share, portion, copy Measure, for newspaper, papers, reports, contracts
分之	fēn zhī	used for fractions and percentages
丰富	fēng fù	rich, plentiful
风景	fēng jǐng	scenery, landscape
否则	fǒu zé	otherwise
富	fù	rich
符合	fú hé	to accord with, to conform to
父亲	fù qīn	father
复印	fù yìn	to (photo)copy
复杂	fù zá	complicated, complex
负责	fù zé	to be responsible for
改变	gǎi biàn	to change
干	gàn	to do, to work
干杯	gān bēi	Cheers!
感动	gǎn dòng	to move sb., to touch (emotionally)
感觉	gǎn jué	feeling, sense, to feel
感情	gǎn qíng	emotion, feeling
感谢	gǎn xiè	gratitude, to thank, to be grateful
干燥	gān zào	dry
刚刚	gāng gāng	just now, a moment ago
高级	gāo jí	high level, high grade, advanced
各	gè	each, every
个子	gè zi	height, stature
工具	gōng jù	tool, utensil
公里	gōng lǐ	kilometer Measure, for km
共同	gòng tóng	common, joint, together
工资	gōng zī	salary, wages
够	gòu	to reach, to be enough, be enough, enough
购物	gòu wù	to go shopping
孤单	gū dān	lone, lonely
估计	gū jì	to estimate
顾客	gù kè	client, customer
鼓励	gǔ lì	to encourage, to urge
故意	gù yì	on purpose, deliberately
鼓掌	gǔ zhǎng	to applaud
挂	guà	to hang (up)
关键	guān jiàn	key, crucial point
管理	guǎn lǐ	management, to manage
观众	guān zhòng	audience, spectators
逛	guàng	to stroll
光	guāng	light, ray, naked, only, merely
广播	guǎng bō	broadcasting, to broadcast
广告	guǎng gào	advertisement, to advertise
规定	guī dìng	regulations, provision, to fix, to stipulate
过	guò	to pass, to cross, to spend time
过程	guò chéng	process, course
国际	guó jì	international
果然	guǒ rán	as expected
害羞	hài xiū	shy
海洋	hǎi yáng	ocean
汗	hàn	sweat
寒假	hán jià	winter vacation
航班	háng bān	scheduled flight, flight number
好处	hǎo chu	benefit, advantage
号码	hào mǎ	number
好像	hǎo xiàng	to seem, to be like, look like
合格	hé gé	qualified
合适	hé shì	suitable, appropriate
盒子	hé zi	box, case
厚	hòu	thick, deep
后悔	hòu huǐ	to regret, to repent
后来	hòu lái	afterwards, later
猴子	hóu zi	monkey
忽然	hū rán	suddenly
护士	hù shi	nurse
互相	hù xiāng	each other
怀疑	huái yí	doubt, suspicion, to doubt, to suspect
回忆	huí yì	recollection, to recall, to recollect
火	huǒ	fire
获得	huò dé	to obtain, to acquire
活动	huó dòng	activity, to move about, active
活泼	huó pō	lively, vivid
寄	jì	to send, to mail
基础	jī chǔ	base, foundation, basis
激动	jī dòng	to excite, exciting
集合	jí hé	congregation, to gather, to assemble
计划	jì huà	plan, project, program, to plan
积极	jī jí	positive, active
积累	jī lěi	accumulation, to accumulate
极其	jí qí	extremely
既然	jì rán	this being the case
及时	jí shí	in time, without delay
即使	jí shǐ	even if, even thoug
技术	jì shù	technology, skill, technique
继续	jì xù	continuation, to continue, to go on
记者	jì zhě	reporter, journalist
假	jiǎ	fake, false
加班	jiā bān	to work overtime
价格	jià gé	price
家具	jiā jù	furniture
加油站	jiā yóu zhàn	gas station
坚持	jiān chí	to stick to, to persist in, to insist on
减肥	jiǎn féi	to lose weight
减少	jiǎn shǎo	to reduce, to decrease
降低	jiàng dī	to reduce, to lower
奖金	jiǎng jīn	premium, award money, bonus
将来	jiāng lái	future, in the future
交	jiāo	to hand over, to intersect, to associate with
骄傲	jiāo ào	to be proud of sth., arrogant, conceited
交流	jiāo liú	communication, exchange, to exchange, to communicate
教授	jiào shòu	professor, to instruct, to lecture on
交通	jiāo tōng	traffic
